title,description
Pennsylvania Poll: Trump Up 5 in the Crucial Swing State,"Former President Donald Trump is up in Pennsylvania by five percentage points, according to an Echelon Insights survey released just days ahead of the pivotal 2024 presidential election.
The post Pennsylvania Poll: Trump Up 5 in the Crucial Swing State appear…"
Trump: Kamala Harris's Hurricane Helene 'Response Was a Disgrace',"Former President Donald Trump criticized Vice President Kamala Harris for the Biden-Harris administration's response to Hurricane Helene, noting that it ""was a disgrace.""
The post Trump: Kamala Harris’s Hurricane Helene ‘Response Was a Disgrace’ appeared firs…"
Pollster Mark Penn: I’d Rather Be Trump Right Now,"Former adviser and pollster for President Clinton Mark Penn said Sunday on FNC's ""Special Report"" that at this point in the election, he would rather be on the side of former President Donald Trump's team.
The post Pollster Mark Penn: I’d Rather Be Trump Righ…"
'Due to Donald Trump': MSNBC's Mika cries during harrowing interview,"""Morning Joe"" co-host Mika Brzezinski brushed away tears Friday morning as a Georgia mother told how Donald Trump's actions as president pushed her to the brink of death upon the loss of a ""very wanted"" child. Avery Davis Bell appeared on MSNBC Friday morning…"
Anti-Trump monument pops up commemorating Stormy Daniels' unflattering description,Another statue has popped up to commemorate a major moment in Donald Trump's history: his alleged tryst with adult film star and director Stormy Daniels. Huffington Post's Jen Bendery has been following the statues as the civic crafting group erects them arou…
Musk's millions: Five ways the world's richest man helps Trump,"In an extraordinary twist that has upended an already unpredictable election, the world's richest man has become Donald Trump's most influential supporter in his bid to return to the White House.Here are five ways Elon Musk is wielding his outsized influence …"
Republicans blasted for 'strategically' using suspect polls to boost Trump,"According to a report from the New York Times, a combination of polling from sketchy organizations along with reports on overseas betting markets favoring the GOP ticket are being used to keep up the spirits of Donald Trump's supporters with the election just…"
Tim Walz wins cheers by using Trump phrase against him,"Minnesota Gov. Tim Walz on Thursday threw former President Donald Trump's words back in his face during a campaign stop in Bucks County, Pennsylvania.

While speaking with voters in the crucial Pennsylvania swing county, Walz made a reference to Trump's state…"
Six Trump voters on why they’re backing him in 2024,His messaging on big issues like the economy and immigration strike a chord - some of his supporters explain why.
Trump courts divided Arab-American voters in must-win Michigan,Arab-American voters in the must-win state of Michigan could determine the close race.
Trump 'fired up' about euthanasia of Peanut the squirrel,"Peanut, a pet squirrel, is being held up by conservatives as a martyr of government overreach."
Election 2024 live updates as Trump vs. Harris polls show tie just 5 days out,"Former President Donald Trump tried to seize on the ""garbage"" comments at a truck in Wisconsin while Vice President Harris will have a campaign event with J.Lo in Las Vegas."
"Live updates as Trump, Harris blitz battleground states on final day of campaign",The presidential race between Vice President Kamala Harris and former President Donald Trump is down to its final hours before Election Day 2024.
Eye Opener: Trump closing statement includes more violent rhetoric and personal grudges,"At a rally in Pennsylvania on Sunday, former President Donald Trump told supporters that he ""shouldn't have left"" office in 2020 and described Democrats as ""demonic."" Also, music legend Quincy Jones has died at 91. All that and all that matters in today's Eye…"
Election 2024 live updates amid tight Harris-Trump polls in final campaign stretch,"Follow live as Vice President Kamala Harris and former President Donald Trump enter the final weekend of the campaign in the 2024 election, as polls remain tight."
"What Harris, Trump are doing in the West right before Election Day",Vice President Kamala Harris and former President Donald Trump are visiting the West just days before the Nov. 5 Election Day. CBS News political reporter Zak Hudak has more on the upcoming campaign moves.
"Trump says ""shame on you"" to people who voted against him","Former President Donald Trump said ""if you voted against me shame on you"" at a New Mexico rally on Thursday after criticizing President Biden's ""garbage"" comment. CBS News political reporter Zak Hudak and CBS News national correspondent Kris Van Cleave follow…"
How Trump and Harris' stances and policy plans on marijuana legalization compare,Both Vice President Kamala Harris and former President Donald Trump have offered their views on legalizing weed.
"Trump says he will ""protect women"" whether they ""like it or not""","While campaigning in Green Bay, Wisconsin, on Wednesday, former President Donald Trump told a crowd that ""whether the women like it or not, I'm going to protect them.'"" Vice President Kamala Harris called the remarks ""offensive to women."" Nikole Killion repor…"
"Kamala Harris reacts to Trump saying he'll protect women ""whether the women like it or not""","Vice President Kamala Harris spoke to reporters in Wisconsin Thursday about former President Donald Trump's comments that he would protect women ""whether the women like it or not."" Harris said the remark speaks to how Trump thinks about women and their agency…"
"Trump rips Biden for ""garbage"" comment, Harris still trying to appeal to moderates and youth","Former President Donald Trump is seizing on President Biden's comments where he appeared to call Trump supporters ""garbage,"" though the White House says the president was referring specifically to the rhetoric of the comedian who disparaged Puerto Rico during…"
"Trump on Cheney: See how she feels ""when the guns are trained on her face""",Former President Donald Trump went after former GOP Rep. Liz Cheney of Wyoming during a campaign event with conservative personality Tucker Carlson.
"Harris campaign pounces on Trump rally "" garbage"" remarks in push for Latino vote",Harris' campaign believes that rhetoric is helping boost Harris with late-breaking battleground voters — by double digits.
Johnson says Harris is lying over his Affordable Care Act plans if Trump wins,House Speaker Mike Johnson is rebuking Vice President Kamala Harris' comments about the future of the Affordable Care Act if former President Donald Trump becomes president again. CBS News' Nikole Killion reports.
"Harris leans on star power, Trump targets Cheney on Carlson interview","Actress Jeniffer Lopez and Mexican rock band Maná joined Vice President Kamala Harris at a campaign rally in Las Vegas, Nevada, Thursday, the same day former President Donald Trump attacked former Rep. Liz Cheney, a Harris campaign surrogate, during a live in…"
Raffensperger assures Georgia that voting systems are secure amid Trump campaign's lawsuit,A Georgia judge rejected a lawsuit trying to block opening some election offices over the weekend to let voters hand in their mail ballots in person. CBS News' Nikole Killion has more on the judge's decision and the latest on Georgia early voting efforts.
"Both Trump and Harris spending plans are concerning in a ""big way,"" Mohamed El-Erian says","Mohamed El-Erian, the Allianz chief economic adviser, tells ""Face the Nation with Margaret Brennan,"" that both former President Donald Trump and Vice President Kamala Harris' economic proposals are concerning ""in a big way"" since they do not include any plan …"
"Trump says ""I don't mind"" if someone had to shoot through media",Former President Donald Trump told rally goers in Pennsylvania that he wouldn't mind if a potential assassination attempt went through the media risers.
"Trump, Harris make play for North Carolina, polls show tight race in the Tar Heel State","Vice President Kamala Harris and former President Donald Trump are making last-minute stops in North Carolina. Though the state has not voted for a Democratic presidential candidate since 2008, the Harris team believes it is still in play while the Trump camp…"
"How turnout and persuasion could play out for Trump, Harris in battlegrounds",We explore how turnout and persuasion scenarios could play out in the critical states for Trump and Harris in the final weekend leading up to the 2024 presidential election.
"Trump climbs into garbage truck to mock Biden's ""garbage"" comment controversy","Former President Trump intensified his response to Biden's recent comments by climbing into a garbage truck and declaring, ""250 million Americans are not garbage"" as he campaigned in Wisconsin."
Trump looks to gain support from Latino voters while campaigning in Southwest,Former President Donald Trump campaigned in Arizona Thursday where he repeated false claims about Democrats in 2020. He also criticized Vice President Kamala Harris on immigration and the economy.
"Eye Opener: Trump, Harris focus on Latino voters in the final days before the election","In the final days before Election Day, Jennifer Lopez is the latest star to stump for Kamala Harris as both presidential candidates reach out to Latino voters. Also, a Danish company is making big profits on weight loss drugs such as Ozempic. All that and all…"
"How infrequent voters, GOP defectors could tip the battlegrounds for Trump, Harris","CBS News director of elections and surveys Anthony Salvanto joins ""Face the Nation with Margaret Brennan"" to discuss the latest 2024 Battleground Tracker, which shows how voter turnout and persuasion scenarios could tip battleground states for former Presiden…"
Trump and Harris make final appeals in Georgia as polls show tight race,"As the presidential race tightens, former President Donald Trump and Vice President Kamala Harris campaign in Georgia, where our battleground tracker indicates a narrow lead for Trump. CBS News' Nikole Killion has more from Atlanta."
North Carolina race tightens as Trump holds narrow lead over Harris,"With the battleground tracker showing a slim lead for former President Donald Trump, the race in North Carolina remains too close to call. CBS News' Skyler Henry reports from North Carolina, where voters weigh in on the candidates."
"Harris, Trump focus on battleground Georgia as polls show statistical tie in presidential race","Former President Donald Trump made his final stop in Georgia on Sunday night, while Vice President Kamala Harris and Gov. Tim Walz made separate stops in the Peach State over the weekend. President Biden flipped the battleground state in 2020, winning it by f…"
"Trump calls for 25% tariff for Mexico goods over illegal immigration, border security",Former President Donald Trump threatened a tariff on Mexican goods over the flow of drugs and illegal immigration at the U.S.-Mexico border. Trump's remarks in North Carolina occurred just hours before Election Day. Semafor's David Weigel joins CBS News with …
'God willing': Internal Team Trump email reveals 'unusual' pessimism,"Former President Donald Trump's campaign has got the we're-gonna-lose blues, a new report reveals. An ""unusual"" tone of pessimism appeared Friday in an internal email to Trump Team staffers as they dealt with their candidate's suggestion former Rep. Liz Chene…"
Trump booster quits Washington Post after livestream meltdown,"Hugh Hewitt has quit the Washington Post, but his storming off has nothing to do with the paper's decision to withhold presidential endorsements. In an exclusive report, the New York Post revealed that Hewitt was live on air with colleagues Jonathan Capehart …"
Central Park Five sue Trump for defamation over debate claims,"The now-exonerated men allege Trump spoke falsely of their case with ""reckless disregard""."
McDonald's is the latest election battleground for Trump and Harris,"Presidential candidates have often invoked McDonald's during their runs for the White House, both as a place to eat and as a place to work."
John Kelly says Trump told him more than once that Hitler 'did some good things',"Trump's former chief of staff John Kelly confirmed previous reports that Trump told him Hitler ""did some good things,"" The New York Times reported."
Arthur Blank joins 'Business Leaders for Harris' as his former business partner funnels money to Trump,"Blank is joining an initiative to woo more conservative, business-minded voters. Mark Cuban and Reid Hoffman are among industry titans also involved."
Elon Musk is going 'founder mode' in his bid to get Donald Trump elected,Elon Musk's approach to helping Donald Trump get elected is similar to how the Tesla CEO runs businesses. It's not clear in this case if it'll work.
"Trump scores a Joe Rogan interview for the first time, with an eye on male voters",Joe Rogan's interview with Donald Trump would be the former president's latest appearance on a podcast that attracts young men.
Elon Musk has spent more than $130 million on Trump and the GOP this year,"After pouring an additional $43.6 million into his pro-Trump super PAC, Elon Musk is now the ex-president's second largest financial backer."
Zelenskyy's new T-shirt riffs on Trump — and annoyed the Kremlin,"Zelenskyy ditched his iconic green T-shirt to send a pointed message to Russia on Wednesday, gaining an ascerbic response from the Kremlin."
Flight logs show Elon Musk's private jets are busy hitting swing states as he campaigns for Trump,Elon Musk's private planes made eight flights to and from Pennsylvania this past week.
The vulnerable GOP congressman convinced that economic interest voters will save him from the Trump and abortion backlash,"In Scottsdale, Rep. David Schweikert hopes an old-school GOP approach can help him hold onto a House district that's increasingly turning blue."
Legendary investor Paul Tudor Jones says he's buying gold and bitcoin pre-election because inflation will rise under both Trump and Harris,"""The playbook to get out of this is that you inflate your way out,"" Jones said about America's ballooning national debt."
Her billionaire marriage broke up. Her VP campaign fizzled. Now she’s a Trump-world star.,"During his recent live tour, Tucker Carlson welcomed a stable of MAGA warhorses to the stage: activist Charlie Kirk in Wichita, conspiracy theorist Alex..."
Why was Trump serving fries in McDonald’s?,The BBC's Lily Jamali explains the backstory behind the former president's campaign stunt.
"The election is still incredibly close with 2 weeks to go, with warning signs for both Trump and Harris in the Sun Belt",Harris and Trump are looking to firm up voters in their respective coalitions while also winning crossover support that could secure them victory.
Former Trump aides are asking for the Supreme Court’s help as their ex-boss eyes the White House,"As former President Donald Trump turns to the final days of his campaign for a second term in the White House, some of his ex-aides are trying to get into..."
Watch: Trump serves up McDonald’s fries and Harris celebrates birthday,The US presidential candidates continued to campaign across key swing states on Sunday.
Woman alleges Trump groped her in front of Jeffrey Epstein,Stacey Williams tells CNN the alleged incident happened after Epstein introduced her to Trump at his Manhattan skyscraper.
Trump and Vance possible targets of China-backed cyber attack,It is reported the Republican candidates' phones may have been among the targets of a broader cyber attack.
Will the Harris-Cheney show persuade anti-Trump Republicans?,The Democratic candidate targeted disaffected Republicans in three of the most contested states.
Hillary Clinton says she’s not worried about Trump retaliation,Former Secretary of State Hillary Clinton said she’s not worried about former President Trump retaliating against her if he wins the 2024 presidential...
Seth Meyers Was Shocked To Learn This Donald Trump Stunt Was Real,The Late Night comedian riffed on the overall fever-dream nature of the 2024 election.View Entire Post ›
9 Celebrities Who Have Endorsed Donald Trump In The Past Month,From wrestlers to race car drivers.View Entire Post ›
"And Just Like That, People Are Trolling Donald Trump With Negative Reviews On THAT McDonald's Yelp Page",Welp. I guess y'all won't be wanting fries with that.View Entire Post ›
"Donald Trump Just Shared An Odd Story About Arnold Palmer's Penis Size, And Jon Stewart Had A Surprising Reaction",The Daily Show host argued there's a bigger and more important issue at hand.View Entire Post ›
"""It Raises Real Questions About Whether You Are Fit For The Toughest Job In The World"": Kamala Harris Trolled Donald Trump After He Apparently Canceled These 6 Interviews","""It raises real questions about whether you are fit for the toughest job in the world.""View Entire Post ›"
"A Fox News Host Seemingly Tried To Defend Trump Allegedly Saying He Wanted ""Generals Like Hitler Had,"" And It's Quite The Statement","""Coming from the business world...obviously [Trump] has frustration.""View Entire Post ›"
Trump shakes off Selt to reach NI Open third round,Four-time winner Judd Trump advances to the last 16 of the Northern Ireland Open with a 4-2 victory over Matthew Selt at the Waterfront Hall in Belfast.
Trump reaches semi-finals of Northern Ireland Open,World number one Judd Trump books his place in the semi-finals of the Northern Ireland Open with a 5-1 win over Shaun Murphy.
Trump Vs. Harris Fundraising Race: Harris Takes In $222 Million In September—Far Surpassing Trump,Harris' campaign and affiliated groups have already raised $1 billion since she entered the race.
Who Is Polymarket’s Trump Whale? Site Reveals French Trader Bet $28 Million On Trump Win,The crypto-based Polymarket says it has not uncovered evidence of manipulation in the massive bets on a Trump win.
Georgia 2024 Trump-Harris Polls: Trump Leads In Latest Survey—But Undecided Voters Could Tip Results,Biden was the first Democratic presidential candidate to win Georgia since 1992.
Arizona 2024 Trump-Harris Polls: Trump Up 3 Points In Latest Survey,"President Joe Biden narrowly won the battleground state in 2020 over Trump, who sought to overturn election results in the state."
"Wisconsin 2024 Trump-Harris Polls: Trump Leads In Latest Survey, 2 Others Show A Tie","Biden flipped Wisconsin in 2020, but it's expected to be close this year."
North Carolina 2024 Trump-Harris Polls: Trump Leads By 3 Points In Latest Survey,Polls show Trump and Harris are in a virtual tie for North Carolina’s 16 electoral college votes.
Trump Vs. Harris 2024 Polls: Trump Up In New HarrisX/Forbes Survey—Harris Leads In Another,Most polls indicate a tight race between Donald Trump and Kamala Harris.
North Carolina 2024 Trump-Harris Polls: Trump Leads By About 1 Point In New Survey,Polls show Trump and Harris are in a virtual tie for North Carolina’s 16 electoral college votes.
Former Model Alleges Trump Groped Her During Trump Tower Visit With Jeffrey Epstein,The accusation was made during a Zoom event hosted by a coalition of sexual assault survivors backing Vice President Kamala Harris in the upcoming election.
Harris Vs. Trump On The Economy: Trump Takes Lead In Latest Poll,"Trump has pulled ahead of Harris on economy polling, though Americans still opt for Harris on several hot-button economic issues."
Pennsylvania 2024 Trump-Harris Polls: Trump Up 1 Point In Latest Survey,Pennsylvania has voted for 10 of the last 12 White House winners.
Trump Vs. Harris Fundraising Race: Harris Outraised Trump 3-To-1 With Last Pre-Election Report,Harris' campaign and affiliated groups have raised $1 billion since she entered the race.
Trump Invites ‘Nelk Boys’ Onto Plane In Election’s Closing Stretch—After Montage Of Pro-Trump Pranks,"A new video shows the extent of Trump’s relationship with content creators, the “Nelk Boys.”"
Trump Vs. Harris 2024 Polls: Trump Up In 3 New Surveys—Harris Leads In 2 Others,Most polls indicate a tight race between Donald Trump and Kamala Harris.
Can Trump Take Tesla Stock To $0?,"Indeed this broad range reflects a simple fact: while Tesla has transformed the auto business, it is a volatile stock."
Georgia 2024 Trump-Harris Polls: Harris Leads By 4 In Latest Survey—But Averages Show Trump Ahead,Biden was the first Democratic presidential candidate to win Georgia since 1992.
Georgia 2024 Trump-Harris Polls: Trump Has Narrow Lead In New Poll—As GOP Aims To Reclaim State,Biden was the first Democratic presidential candidate to win Georgia since 1992.
North Carolina 2024 Trump-Harris Polls: Trump Leads By About 1 Point In 2 New Surveys—A Near-Tie,Polls show Trump and Harris are in a virtual tie for North Carolina’s 16 electoral college votes.
Nevada 2024 Trump-Harris Polls: Trump Up By 1 Point In Latest Survey—As Harris Struggles With Latinos,Nevada has voted for Democrats in every presidential election since 2008.
"Bitcoin’s Trump Bump, Stripe Makes Big Crypto Play","Months after cofounder John Collison declared ""crypto is back,"" fintech unicorn Stripe is in talks to acquire startup Bridge, a provider of infrastructure for crypto stablecoins, five sources familiar with the discussions told Forbes. The price tag: $1 billio…"
Trump-Harris Early Voting Trends: GOP Cuts Into Democratic Advantage,Almost 13 million voters have cast their ballots so far.
Harris Says Trump Is A Fascist In CNN Town Hall,Harris was speaking about Trump’s reported praise of Hitler and his desire to use the military to go after his political enemies.
How Badly Will Trump Plan Reduce Your Social Security Benefits?,American are worried about how they can afford to live in retirement. Trump alludes to a Social Security plan  that could reduce by benefits by 1/3.
Billionaires Undercard -Cuban V Musk Outshine Trump/Harris Main Event,An interesting thing is happening in the US election this year: billionaires are no longer satisfied with quietly opening their wallets and supporting their go-to cand...
Bitcoin Approaches All Time High. What Happens If Trump Wins?,A Trump presidency would embed bitcoin more deeply into the financial system. How would that affect its price?
Envisioning The U.S. Job Market Under Trump Vs. Harris,This comparative analysis reveals what a Trump vs. Harris win could mean for American workers and U.S. job growth.
Donald Trump Movie ‘The Apprentice’ Gets Digital Streaming Date,“The Apprentice”—starring Sebastian Stan as Donald Trump and Jeremy Strong as Roy Cohn—is coming soon to digital streaming. Find out when and where you can watch it at home.
Biden Proposes Free Birth Control Without A Prescription—But Trump Could Nix Rule,The proposed rule is subject to a 60-day public comment period.
Best Stocks To Buy If Trump Or Harris Wins In 2024,"Whether Donald Trump or Kamala Harris emerges victorious, certain sectors and stocks are likely to benefit."
Nevada 2024 Trump-Harris Polls: Latest Survey Shows A Tie—As Harris Struggles With Latinos,Nevada has voted for Democrats in every presidential election since 2008.
How Trump Made Billions By Not Selling His Truth Social Stock,Call it the art of no deal. Trump Media & Technology Group's biggest individual shareholder got richer by not cashing in his shares when his lock-up expired.
Donald Trump Would Hire CEOs His Age. Is Mandatory CEO Retirement Bad?,Former president Donald Trump stated he’d hire a CEO his age. This raises the question: Is the mandatory retirement age for CEOs still relevant today?
Trump Hasn’t Spent A Dime Of His Own Money On His 2024 Campaign,"The campaign and political committees of billionaire presidential candidate Donald Trump have paid his businesses millions for air travel, lodging, catering and more."
"Election 2024 Swing State Polls: Trump Leads Harris In 4 States, Tie In Georgia (Updated)","While Harris has a slight lead nationally, there's no clear leader in the seven swing states likely to decide the election."
New HarrisX/Forbes Poll: Trump Leads Harris By 2 Points—But 12% Are Still Deciding,Trump is up one point in a four-way race with third-party candidates on the ballot.
Trump Vs. Harris 2024 Polls: Harris Leads By 1 Point In Two Latest Surveys,Most polls indicate a tight race between Donald Trump and Kamala Harris.
Wisconsin 2024 Trump-Harris Polls: Harris Leads By 3 Points In Latest Survey,"Harris leads in four of seven swing states, according to Five Thirty Eight polling averages."
Michigan 2024 Trump-Harris Polls: Harris Leads Narrowly In Latest Survey,Biden flipped Michigan in the 2020 election.
"Harris Vs. Trump On The Economy: Americans Split On Who’s Better For Inflation, Jobs And Taxes",This is what polls suggest about Americans' leanings on Harris and Trump as the economy enters a new phase.
Trump Vs. Harris 2024 Polls: Harris Leads In 4 Latest Surveys,Most polls indicate a tight race between Donald Trump and Kamala Harris.
Michigan 2024 Trump-Harris Polls: Harris Takes 3-Point Lead In Latest Poll,Biden flipped Michigan in the 2020 election.
These Pro-Crypto Billionaires Have Endorsed Trump Or Harris As Election Day Nears,"During an appearance at a cryptocurrency conference earlier this year, Trump said he wanted the U.S. to become the “crypto capital of the planet.”"
America First Agenda: What To Know About The Project 2025 Alternative—That Trump Isn’t Disavowing,"A super PAC with ties to the group was registered this week, as America First reportedly spearheads plans for a second Trump term."
Give Trump North Carolina’s Electoral Votes Early? House Rep. Harris Calling Race Before Vote’s Even Tallied,"North Carolina, one of the seven swing states, has 16 electoral votes up for grabs."
Donald Trump’s Net Worth Rises $460 Million As Trump Media Shares Surge,Trump Media’s share price has more than doubled since reaching a record low in September.
"College Faculty Prefer Harris Over Trump By Massive Margin, Finds Poll",Kamala Harris leads Donald Trump by 78% to 8% among college faculty according to a new Inside Higher Ed/Hanover Research survey about the upcoming presidential election.
"Harris Outraised Trump By More Than 3-To-1 Margin In September, Filings Show","The fundraising advantage allowed Harris to massively outspend Trump in September, while entering October with a large cash advantage."
Trump Will Appear On Joe Rogan’s Podcast After Days Of Speculation—As Harris Talk Not Confirmed,"Joe Rogan is outspoken in his political beliefs, often pointing out flaws in both presidential candidates in the 2024 election."
Jamie Dimon Not Considering A Job With Harris Or Trump—But Reportedly Backs Harris,Dimon has not publicly endorsed a candidate in the 2024 presidential race.
